Lon   Lat   clay silt sand orgC CN pH cellfraction 
107.75 -7.75 0.253 0.318 0.429 0.024 11.418 6.460 0.401 
117.75 -25.25 0.170 0.270 0.560 0.004 9.000 8.000 0.416 
-22.25 64.75 0.410 0.330 0.260 0.307 21.000 4.400 0.530 
-26.25 71.25 0.164 0.259 0.577 0.018 11.316 6.956 0.518 
-61.75 -29.25 0.280 0.410 0.310 0.012 11.000 7.500 0.547 
139.75 64.25 0.270 0.300 0.430 0.014 11.000 7.600 0.367 
-118.75 44.75 0.310 0.360 0.330 0.018 11.000 6.200 0.448 
-66.25 47.25 0.060 0.200 0.740 0.030 17.000 4.500 0.500 
-62.25 3.75 0.390 0.170 0.440 0.013 12.000 4.900 0.690 
-43.75 -22.75 0.390 0.170 0.440 0.013 12.000 4.900 0.605 
106.75 20.25 0.277 0.276 0.447 0.010 11.076 5.962 0.470 
-106.25 36.75 0.130 0.290 0.580 0.006 11.000 6.200 0.419 
37.75 26.25 0.170 0.270 0.560 0.004 9.000 8.000 0.436 
121.75 -31.75 0.260 0.250 0.490 0.007 11.000 7.800 0.489 
79.25 19.25 0.270 0.240 0.490 0.008 10.000 6.400 0.526 
83.25 31.25 0.270 0.300 0.430 0.014 11.000 7.600 0.499 
-41.25 -14.25 0.270 0.240 0.490 0.008 10.000 6.400 0.351 
26.25 -12.75 0.480 0.160 0.360 0.012 12.000 5.400 0.398 
-105.25 67.75 0.080 0.370 0.550 0.020 11.000 5.900 0.600 
-6.25 23.25 0.170 0.270 0.560 0.004 9.000 8.000 0.550 
-121.75 43.75 0.230 0.280 0.490 0.007 10.000 8.000 0.368 
-78.75 71.75 0.080 0.370 0.550 0.020 11.000 5.900 0.601 
26.75 -19.25 0.050 0.060 0.890 0.004 11.000 6.400 0.445 
68.75 69.75 0.410 0.330 0.260 0.307 21.000 4.400 0.605 
30.75 -18.75 0.230 0.270 0.500 0.008 11.000 6.200 0.348 
91.75 59.75 0.100 0.400 0.500 0.011 11.000 5.500 0.647 
121.75 13.25 0.239 0.228 0.533 0.012 10.876 5.661 0.381 
141.75 64.25 0.270 0.300 0.430 0.014 11.000 7.600 0.340 
77.25 27.75 0.200 0.220 0.580 0.008 11.000 6.200 0.360 
-7.75 4.25 0.313 0.206 0.481 0.014 11.932 4.949 0.378 
85.75 70.25 0.200 0.480 0.320 0.031 17.000 6.300 0.500 
141.75 44.75 0.240 0.310 0.450 0.010 11.000 6.600 0.618 
26.25 16.25 0.130 0.190 0.680 0.006 11.000 6.500 0.500 
-97.25 68.25 0.080 0.370 0.550 0.020 11.000 5.900 1.000 
44.75 51.75 0.280 0.480 0.240 0.022 11.000 7.000 0.717 
-68.75 -42.75 0.180 0.200 0.620 0.004 12.000 7.900 0.402 
-99.75 30.25 0.320 0.400 0.280 0.014 10.000 7.400 1.000 
-121.25 64.75 0.210 0.610 0.180 0.353 17.000 4.800 0.700 
176.75 69.75 0.195 0.475 0.331 0.031 16.722 6.281 0.496 
28.25 45.25 0.190 0.380 0.430 0.006 10.000 8.100 0.395 
173.25 -42.75 0.240 0.330 0.430 0.014 12.000 5.100 0.419 
-53.75 47.75 0.060 0.200 0.740 0.030 17.000 4.500 0.500 
-75.75 56.75 0.270 0.300 0.430 0.014 11.000 7.600 1.000 
52.75 66.25 0.210 0.610 0.180 0.353 17.000 4.800 0.385 
-85.75 30.25 0.050 0.150 0.800 0.018 19.000 4.700 0.355 
92.25 70.75 0.200 0.480 0.320 0.031 17.000 6.300 0.432 
-85.75 46.25 0.060 0.200 0.740 0.030 17.000 4.500 0.470 
-64.75 58.75 0.270 0.300 0.430 0.014 11.000 7.600 0.340 
-3.75 17.25 0.060 0.060 0.880 0.002 12.000 5.900 1.000 
67.75 34.75 0.270 0.300 0.430 0.014 11.000 7.600 0.379 
95.75 38.25 0.170 0.270 0.560 0.004 9.000 8.000 0.351 
-75.25 2.25 0.240 0.330 0.430 0.014 12.000 5.100 0.424 
