Lon   Lat   clay silt sand orgC CN pH cellfraction 
116.75 37.75 0.340 0.310 0.350 0.018 12.000 6.400 0.514 
60.25 35.75 0.190 0.260 0.550 0.007 10.000 7.900 0.301 
95.75 48.75 0.230 0.400 0.370 0.013 9.000 7.200 0.628 
126.75 -3.75 0.220 0.190 0.590 0.008 11.000 5.100 0.700 
0.25 28.75 0.190 0.380 0.430 0.006 10.000 8.100 0.522 
122.25 0.25 0.327 0.237 0.436 0.018 12.251 5.204 0.502 
-76.75 63.75 0.121 0.355 0.524 0.019 11.000 6.262 0.686 
26.75 -26.75 0.270 0.240 0.490 0.008 10.000 6.400 0.389 
-70.25 57.75 0.270 0.300 0.430 0.014 11.000 7.600 0.670 
-50.25 -2.75 0.250 0.240 0.510 0.009 11.000 4.800 0.435 
86.25 61.25 0.240 0.330 0.430 0.014 12.000 5.100 0.539 
66.25 33.25 0.270 0.300 0.430 0.014 11.000 7.600 0.479 
-88.25 49.25 0.060 0.200 0.740 0.030 17.000 4.500 0.700 
113.75 -26.75 0.190 0.260 0.550 0.007 10.000 7.900 0.414 
12.25 57.75 0.060 0.200 0.740 0.030 17.000 4.500 0.499 
84.25 27.75 0.240 0.330 0.430 0.014 12.000 5.100 0.454 
122.25 -26.75 0.130 0.190 0.680 0.006 11.000 6.500 0.302 
14.75 26.25 0.170 0.270 0.560 0.004 9.000 8.000 0.488 
117.75 -22.25 0.170 0.270 0.560 0.004 9.000 8.000 0.549 
-101.25 18.25 0.220 0.320 0.460 0.016 10.000 7.200 0.297 
-93.75 51.75 0.130 0.290 0.580 0.006 11.000 6.200 0.620 
38.25 24.75 0.270 0.300 0.430 0.014 11.000 7.600 0.500 
-2.25 41.75 0.280 0.370 0.350 0.007 10.000 8.000 0.448 
38.75 60.75 0.060 0.200 0.740 0.030 17.000 4.500 0.468 
45.75 22.75 0.180 0.280 0.540 0.004 14.000 8.100 0.313 
104.75 60.25 0.210 0.420 0.370 0.017 14.000 5.100 0.659 
134.25 49.75 0.230 0.270 0.500 0.008 11.000 6.200 0.411 
56.25 43.75 0.290 0.330 0.380 0.005 10.000 8.200 0.556 
26.75 43.75 0.310 0.430 0.260 0.019 10.000 7.800 0.428 
89.25 40.75 0.220 0.410 0.370 0.005 9.000 7.900 0.443 
116.75 72.25 0.200 0.480 0.320 0.031 17.000 6.300 0.500 
85.75 37.25 0.270 0.300 0.430 0.014 11.000 7.600 0.500 
58.25 33.25 0.180 0.280 0.540 0.004 14.000 8.100 0.426 
-53.75 -9.75 0.220 0.190 0.590 0.008 11.000 5.100 0.511 
116.75 62.75 0.210 0.420 0.370 0.017 14.000 5.100 0.700 
20.75 -16.75 0.290 0.300 0.410 0.010 11.000 6.200 0.424 
-178.75 67.75 0.200 0.480 0.320 0.031 17.000 6.300 0.512 
-9.75 11.25 0.270 0.300 0.430 0.014 11.000 7.600 0.340 
106.25 57.25 0.270 0.300 0.430 0.014 11.000 7.600 0.340 
133.75 65.25 0.270 0.300 0.430 0.014 11.000 7.600 0.374 
-72.25 67.75 0.080 0.370 0.550 0.020 11.000 5.900 0.600 
37.25 61.25 0.140 0.480 0.380 0.018 12.000 5.000 0.500 
53.75 40.75 0.180 0.280 0.540 0.004 14.000 8.100 0.395 
17.25 -2.75 0.350 0.110 0.540 0.010 13.000 4.500 0.438 
46.75 36.75 0.190 0.260 0.550 0.007 10.000 7.900 0.584 
101.25 34.25 0.270 0.300 0.430 0.014 11.000 7.600 0.355 
24.75 -1.75 0.370 0.240 0.390 0.010 10.000 5.490 0.873 
48.75 56.25 0.200 0.220 0.580 0.008 11.000 6.200 0.501 
-71.25 64.75 0.080 0.370 0.550 0.020 11.000 5.900 0.675 
-85.75 13.25 0.240 0.330 0.430 0.014 12.000 5.100 0.392 
143.25 -34.25 0.280 0.310 0.410 0.006 11.000 7.800 0.425 
98.75 70.75 0.200 0.480 0.320 0.031 17.000 6.300 0.299 
25.75 25.25 0.060 0.060 0.880 0.002 12.000 5.900 0.611 
54.25 48.75 0.230 0.400 0.370 0.013 9.000 7.200 0.499 
-66.75 -37.75 0.180 0.200 0.620 0.004 12.000 7.900 0.417 
-64.75 56.75 0.270 0.300 0.430 0.014 11.000 7.600 0.340 
135.75 60.25 0.210 0.420 0.370 0.017 14.000 5.100 0.702 
1.25 26.75 0.170 0.270 0.560 0.004 9.000 8.000 0.600 
-135.75 60.25 0.240 0.310 0.450 0.010 11.000 6.600 0.484 
38.75 53.25 0.300 0.370 0.330 0.018 11.000 7.000 0.613 
67.75 49.75 0.230 0.400 0.370 0.013 9.000 7.200 0.639 
30.75 29.25 0.190 0.380 0.430 0.006 10.000 8.100 0.520 
13.25 24.25 0.060 0.060 0.880 0.002 12.000 5.900 1.000 
123.75 72.75 0.200 0.480 0.320 0.031 17.000 6.300 0.419 
2.75 33.75 0.180 0.280 0.540 0.004 14.000 8.100 0.561 
-21.75 64.75 0.270 0.300 0.430 0.014 11.000 7.600 0.400 
78.25 59.25 0.400 0.350 0.250 0.384 15.000 5.900 0.405 
-96.25 49.25 0.170 0.240 0.590 0.010 13.000 5.200 0.339 
-66.75 -38.75 0.180 0.200 0.620 0.004 12.000 7.900 0.468 
81.25 49.25 0.230 0.400 0.370 0.013 9.000 7.200 0.600 
-98.25 45.75 0.280 0.480 0.240 0.022 11.000 7.000 0.517 
-71.25 -44.25 0.240 0.310 0.450 0.010 11.000 6.600 0.579 
129.25 41.75 0.270 0.300 0.430 0.014 11.000 7.600 0.402 
33.75 66.25 0.060 0.200 0.740 0.030 17.000 4.500 0.499 
148.75 -22.75 0.540 0.290 0.170 0.008 11.000 7.900 0.387 
-100.75 22.75 0.130 0.190 0.680 0.006 11.000 6.500 0.310 
61.75 57.75 0.100 0.400 0.500 0.011 11.000 5.500 0.600 
9.75 22.25 0.170 0.270 0.560 0.004 9.000 8.000 1.000 
-131.75 66.75 0.210 0.610 0.180 0.353 17.000 4.800 0.700 
126.75 -21.25 0.170 0.240 0.590 0.010 13.000 5.200 0.511 
-108.75 72.75 0.095 0.364 0.540 0.020 11.002 6.035 0.916 
-108.75 41.25 0.180 0.120 0.700 0.004 11.000 7.300 0.500 
-67.75 48.75 0.060 0.200 0.740 0.030 17.000 4.500 0.581 
-4.25 32.75 0.230 0.280 0.490 0.007 10.000 8.000 0.445 
-66.25 -27.75 0.230 0.320 0.450 0.009 11.000 7.000 0.589 
89.25 36.75 0.270 0.300 0.430 0.014 11.000 7.600 0.500 
57.75 30.25 0.180 0.280 0.540 0.004 14.000 8.100 0.403 
30.25 37.25 0.280 0.370 0.350 0.007 10.000 8.000 0.361 
139.25 -25.25 0.260 0.250 0.490 0.007 11.000 7.800 0.616 
-70.25 -6.75 0.350 0.110 0.540 0.010 13.000 4.500 0.322 
62.75 67.25 0.080 0.370 0.550 0.020 11.000 5.900 0.397 
118.75 27.25 0.220 0.190 0.590 0.008 11.000 5.100 0.626 
49.25 10.75 0.280 0.310 0.410 0.006 11.000 7.800 0.667 
-44.75 60.25 0.060 0.050 0.890 0.004 13.000 5.600 0.373 
90.25 42.25 0.220 0.410 0.370 0.005 9.000 7.900 0.622 
123.25 60.75 0.210 0.420 0.370 0.017 14.000 5.100 0.708 
99.75 26.25 0.270 0.300 0.430 0.014 11.000 7.600 0.473 
88.75 33.25 0.270 0.300 0.430 0.014 11.000 7.600 0.500 
34.25 66.25 0.061 0.200 0.738 0.031 17.018 4.500 0.485 
-79.25 -4.75 0.230 0.400 0.370 0.013 9.000 7.200 0.415 
-110.25 37.75 0.190 0.260 0.550 0.007 10.000 7.900 0.388 
68.25 29.25 0.170 0.270 0.560 0.004 9.000 8.000 0.477 
-94.25 50.75 0.060 0.200 0.740 0.030 17.000 4.500 0.661 
-72.25 52.75 0.060 0.200 0.740 0.030 17.000 4.500 0.976 
-134.25 69.75 0.214 0.378 0.409 0.017 13.087 6.713 0.572 
151.25 -30.75 0.170 0.220 0.610 0.005 12.000 6.200 0.463 
-118.75 37.25 0.220 0.190 0.590 0.008 11.000 5.100 0.652 
137.25 -18.25 0.270 0.300 0.430 0.014 11.000 7.600 0.476 
-158.25 57.25 0.320 0.300 0.380 0.014 11.000 4.900 0.459 
-50.75 -7.75 0.220 0.190 0.590 0.008 11.000 5.100 0.427 
47.75 31.75 0.270 0.330 0.400 0.005 10.000 8.200 0.680 
-77.25 46.25 0.060 0.200 0.740 0.030 17.000 4.500 0.685 
152.25 69.75 0.200 0.480 0.320 0.031 17.000 6.300 0.297 
102.75 63.25 0.210 0.420 0.370 0.017 14.000 5.100 0.505 
95.75 39.75 0.220 0.410 0.370 0.005 9.000 7.900 0.342 
29.25 -14.25 0.390 0.170 0.440 0.013 12.000 4.900 0.434 
30.25 -0.75 0.510 0.280 0.210 0.026 10.000 5.400 0.385 
93.75 71.75 0.200 0.480 0.320 0.031 17.000 6.300 0.667 
15.25 79.25 0.265 0.280 0.455 0.010 11.370 7.434 0.485 
-102.75 58.25 0.060 0.200 0.740 0.030 17.000 4.500 0.487 
-97.75 72.75 0.080 0.370 0.550 0.020 11.000 5.900 1.000 
-61.25 -35.25 0.320 0.330 0.350 0.018 11.000 6.400 1.000 
95.25 64.25 0.210 0.420 0.370 0.017 14.000 5.100 0.684 
-92.75 15.25 0.530 0.240 0.230 0.012 12.000 6.800 0.290 
73.75 21.25 0.540 0.290 0.170 0.008 11.000 7.900 0.607 
4.25 20.75 0.270 0.300 0.430 0.014 11.000 7.600 0.556 
101.75 6.75 0.231 0.200 0.569 0.010 11.174 5.138 0.453 
-61.75 -38.25 0.270 0.300 0.430 0.014 11.000 7.600 0.555 
152.25 65.75 0.270 0.300 0.430 0.014 11.000 7.600 0.340 
84.75 72.25 0.200 0.480 0.320 0.031 17.000 6.300 0.600 
104.75 -5.25 0.280 0.280 0.440 0.026 13.000 5.100 0.546 
104.75 19.25 0.220 0.190 0.590 0.008 11.000 5.100 0.555 
-94.25 57.25 0.210 0.610 0.180 0.353 17.000 4.800 0.464 
-84.25 38.75 0.270 0.240 0.490 0.008 10.000 6.400 0.332 
13.25 -9.25 0.190 0.160 0.650 0.007 12.000 6.200 0.616 
-101.25 17.75 0.200 0.220 0.580 0.008 11.000 6.200 0.465 
28.25 53.25 0.230 0.270 0.500 0.008 11.000 6.200 0.500 
126.25 61.25 0.210 0.420 0.370 0.017 14.000 5.100 0.623 
-100.75 47.25 0.230 0.400 0.370 0.013 9.000 7.200 0.572 
48.25 -14.75 0.190 0.160 0.650 0.007 12.000 6.200 0.404 
-71.75 -7.25 0.350 0.110 0.540 0.010 13.000 4.500 0.500 
137.75 61.75 0.270 0.300 0.430 0.014 11.000 7.600 0.386 
123.25 62.25 0.210 0.420 0.370 0.017 14.000 5.100 0.700 
-83.25 67.75 0.080 0.370 0.550 0.020 11.000 5.900 0.609 
35.25 -13.25 0.480 0.160 0.360 0.012 12.000 5.400 0.680 
52.75 18.75 0.180 0.280 0.540 0.004 14.000 8.100 0.630 
-72.25 64.25 0.080 0.370 0.550 0.020 11.000 5.900 0.600 
7.25 58.25 0.060 0.200 0.740 0.030 17.000 4.500 0.415 
-138.25 69.25 0.204 0.398 0.399 0.023 13.840 6.675 0.371 
31.75 53.75 0.100 0.400 0.500 0.011 11.000 5.500 0.610 
-123.25 38.75 0.360 0.250 0.390 0.022 13.000 5.000 0.412 
34.75 48.25 0.280 0.480 0.240 0.022 11.000 7.000 0.622 
-2.25 24.25 0.170 0.270 0.560 0.004 9.000 8.000 0.551 
86.25 73.25 0.200 0.480 0.320 0.031 17.000 6.300 0.601 
-80.25 25.75 0.320 0.300 0.380 0.014 11.000 4.900 0.441 
134.75 44.25 0.270 0.300 0.430 0.014 11.000 7.600 0.500 
70.75 22.75 0.540 0.290 0.170 0.008 11.000 7.900 0.434 
-6.25 7.75 0.220 0.190 0.590 0.008 11.000 5.100 0.600 
98.25 20.25 0.220 0.190 0.590 0.008 11.000 5.100 0.700 
-51.25 -11.25 0.250 0.240 0.510 0.009 11.000 4.800 0.548 
16.25 64.75 0.060 0.200 0.740 0.030 17.000 4.500 0.501 
-114.25 66.75 0.080 0.370 0.550 0.020 11.000 5.900 0.499 
104.75 69.75 0.210 0.420 0.370 0.017 14.000 5.100 0.400 
95.75 40.25 0.270 0.330 0.400 0.005 10.000 8.200 0.384 
-3.25 11.25 0.190 0.240 0.570 0.009 12.000 6.100 0.377 
36.25 0.75 0.130 0.190 0.680 0.006 11.000 6.500 0.581 
103.75 21.25 0.220 0.190 0.590 0.008 11.000 5.100 0.649 
143.25 59.25 0.146 0.473 0.381 0.019 11.985 5.101 0.583 
-68.25 -37.25 0.270 0.300 0.430 0.014 11.000 7.600 0.340 
-40.25 -20.25 0.350 0.110 0.540 0.010 13.000 4.500 0.857 
119.75 27.75 0.220 0.190 0.590 0.008 11.000 5.100 0.664 
-50.75 -9.25 0.220 0.190 0.590 0.008 11.000 5.100 0.500 
-69.75 -38.75 0.130 0.190 0.680 0.006 11.000 6.500 0.517 
84.25 53.25 0.170 0.240 0.590 0.010 13.000 5.200 0.694 
-6.25 9.25 0.250 0.240 0.510 0.009 11.000 4.800 0.404 
43.75 -21.25 0.430 0.330 0.240 0.030 13.000 4.800 0.291 
104.25 76.25 0.200 0.480 0.320 0.031 17.000 6.300 0.442 
5.25 19.75 0.270 0.300 0.430 0.014 11.000 7.600 0.637 
-67.75 4.75 0.350 0.110 0.540 0.010 13.000 4.500 0.395 
37.75 -11.25 0.390 0.170 0.440 0.013 12.000 4.900 0.571 
32.75 -15.25 0.190 0.160 0.650 0.007 12.000 6.200 0.700 
-7.75 9.25 0.260 0.190 0.550 0.009 13.000 5.300 0.415 
-91.75 17.25 0.320 0.280 0.400 0.011 10.000 6.700 0.290 
9.25 13.75 0.050 0.050 0.900 0.003 13.000 5.700 0.527 
-98.25 57.75 0.410 0.330 0.260 0.307 21.000 4.400 0.339 
65.75 68.25 0.200 0.480 0.320 0.031 17.000 6.300 0.643 
-63.75 -33.25 0.320 0.330 0.350 0.018 11.000 6.400 1.000 
32.75 23.25 0.170 0.270 0.560 0.004 9.000 8.000 0.582 
-140.75 61.75 0.270 0.300 0.430 0.014 11.000 7.600 0.340 
111.75 38.75 0.280 0.370 0.350 0.007 10.000 8.000 0.337 
57.75 27.25 0.180 0.280 0.540 0.004 14.000 8.100 0.361 
-73.25 69.75 0.080 0.370 0.550 0.020 11.000 5.900 0.599 
15.75 40.25 0.240 0.310 0.450 0.010 11.000 6.600 0.393 
115.25 29.25 0.220 0.190 0.590 0.008 11.000 5.100 0.520 
-54.25 -16.75 0.060 0.050 0.890 0.004 13.000 5.600 0.536 
-117.25 51.25 0.060 0.200 0.740 0.030 17.000 4.500 0.351 
107.25 20.75 0.253 0.238 0.509 0.009 11.197 5.663 0.480 
-108.25 59.75 0.060 0.200 0.740 0.030 17.000 4.500 0.415 
77.25 13.25 0.270 0.240 0.490 0.008 10.000 6.400 0.503 
30.75 27.25 0.180 0.280 0.540 0.004 14.000 8.100 0.398 
116.75 51.25 0.230 0.600 0.170 0.016 10.000 6.200 0.485 
-158.25 65.75 0.320 0.300 0.380 0.014 11.000 4.900 0.500 
40.25 61.75 0.140 0.480 0.380 0.018 12.000 5.000 0.371 
69.75 23.25 0.270 0.300 0.430 0.014 11.000 7.600 0.262 
141.25 -3.75 0.230 0.320 0.450 0.009 11.000 7.000 0.340 
-46.75 -12.75 0.220 0.190 0.590 0.008 11.000 5.100 0.540 
35.25 -20.75 0.073 0.085 0.842 0.004 11.790 6.177 0.545 
-99.25 45.75 0.230 0.400 0.370 0.013 9.000 7.200 0.564 
-41.25 -19.25 0.220 0.190 0.590 0.008 11.000 5.100 0.590 
121.75 58.25 0.270 0.300 0.430 0.014 11.000 7.600 0.340 
-45.75 -10.25 0.390 0.170 0.440 0.013 12.000 4.900 0.656 
45.75 21.25 0.180 0.280 0.540 0.004 14.000 8.100 0.381 
74.75 35.25 0.240 0.310 0.450 0.010 11.000 6.600 0.344 
17.25 22.75 0.170 0.270 0.560 0.004 9.000 8.000 0.484 
1.25 24.25 0.170 0.270 0.560 0.004 9.000 8.000 0.581 
127.25 45.75 0.320 0.330 0.350 0.018 11.000 6.400 0.466 
6.25 36.75 0.130 0.290 0.580 0.006 11.000 6.200 0.651 
21.75 -12.25 0.290 0.300 0.410 0.010 11.000 6.200 0.700 
31.25 40.75 0.220 0.190 0.590 0.008 11.000 5.100 0.367 
103.25 22.25 0.220 0.190 0.590 0.008 11.000 5.100 0.606 
127.75 -29.25 0.060 0.050 0.890 0.004 13.000 5.600 0.474 
7.75 7.75 0.260 0.190 0.550 0.009 13.000 5.300 0.417 
107.75 50.25 0.270 0.300 0.430 0.014 11.000 7.600 0.427 
58.75 59.75 0.270 0.300 0.430 0.014 11.000 7.600 0.500 
13.75 -0.75 0.320 0.210 0.470 0.009 10.000 4.900 0.500 
143.75 43.25 0.250 0.440 0.310 0.052 12.000 6.000 0.515 
-96.25 33.75 0.270 0.240 0.490 0.008 10.000 6.400 0.481 
98.25 72.75 0.200 0.480 0.320 0.031 17.000 6.300 0.711 
-110.25 49.75 0.230 0.400 0.370 0.013 9.000 7.200 0.451 
-53.25 -22.25 0.390 0.170 0.440 0.013 12.000 4.900 0.586 
48.75 7.25 0.220 0.410 0.370 0.005 9.000 7.900 0.700 
101.75 33.75 0.270 0.300 0.430 0.014 11.000 7.600 0.358 
121.25 16.25 0.370 0.240 0.390 0.010 10.000 5.490 0.384 
5.25 34.75 0.180 0.280 0.540 0.004 14.000 8.100 0.641 
144.25 71.75 0.200 0.480 0.320 0.031 17.000 6.300 0.734 
145.75 -41.25 0.370 0.240 0.390 0.010 10.000 5.490 0.424 
-128.25 63.75 0.240 0.310 0.450 0.010 11.000 6.600 0.600 
22.75 41.75 0.240 0.330 0.430 0.014 12.000 5.100 0.439 
47.25 39.25 0.190 0.260 0.550 0.007 10.000 7.900 0.362 
83.25 59.75 0.240 0.330 0.430 0.014 12.000 5.100 0.375 
-89.25 47.75 0.098 0.293 0.610 0.016 13.014 5.420 0.526 
81.75 32.25 0.270 0.300 0.430 0.014 11.000 7.600 0.532 
16.25 -22.75 0.270 0.300 0.430 0.014 11.000 7.600 0.406 
84.75 61.75 0.040 0.100 0.860 0.033 23.000 4.400 0.667 
9.75 49.25 0.430 0.270 0.300 0.009 12.000 6.900 0.451 
141.75 52.25 0.190 0.520 0.290 0.015 11.000 5.300 0.469 
83.75 47.25 0.270 0.300 0.430 0.014 11.000 7.600 0.500 
47.25 26.25 0.180 0.280 0.540 0.004 14.000 8.100 0.396 
-163.75 61.75 0.320 0.300 0.380 0.014 11.000 4.900 0.601 
79.75 67.25 0.220 0.270 0.510 0.011 10.000 5.000 0.340 
3.75 36.75 0.200 0.220 0.580 0.008 11.000 6.200 0.590 
141.75 46.75 0.261 0.300 0.440 0.014 11.116 7.118 0.412 
76.25 26.25 0.240 0.310 0.450 0.010 11.000 6.600 0.502 
124.75 -19.25 0.170 0.240 0.590 0.010 13.000 5.200 0.889 
139.75 -26.25 0.260 0.250 0.490 0.007 11.000 7.800 0.364 
-85.25 43.25 0.060 0.200 0.740 0.030 17.000 4.500 0.468 
87.75 40.25 0.060 0.060 0.880 0.002 12.000 5.900 0.497 
-46.75 -11.25 0.060 0.050 0.890 0.004 13.000 5.600 0.434 
-112.75 70.25 0.080 0.370 0.550 0.020 11.000 5.900 1.000 
49.25 25.75 0.180 0.200 0.620 0.004 12.000 7.900 0.296 
-50.75 -14.25 0.250 0.240 0.510 0.009 11.000 4.800 0.455 
54.75 53.25 0.280 0.480 0.240 0.022 11.000 7.000 0.542 
38.75 52.75 0.300 0.370 0.330 0.018 11.000 7.000 0.675 
36.25 12.25 0.240 0.310 0.450 0.010 11.000 6.600 0.540 
45.25 38.25 0.190 0.260 0.550 0.007 10.000 7.900 0.418 
-71.75 68.25 0.080 0.370 0.550 0.020 11.000 5.900 0.601 
51.25 49.75 0.340 0.310 0.350 0.018 12.000 6.400 0.572 
-88.75 36.25 0.200 0.220 0.580 0.008 11.000 6.200 0.756 
70.75 32.75 0.230 0.280 0.490 0.007 10.000 8.000 0.900 
139.75 72.25 0.200 0.480 0.320 0.031 17.000 6.300 0.700 
162.25 60.25 0.200 0.480 0.320 0.031 17.000 6.300 0.499 
83.25 36.75 0.170 0.270 0.560 0.004 9.000 8.000 0.629 
-115.75 40.25 0.180 0.200 0.620 0.004 12.000 7.900 0.600 
87.75 56.25 0.230 0.600 0.170 0.016 10.000 6.200 0.467 
-141.75 66.25 0.320 0.300 0.380 0.014 11.000 4.900 0.500 
32.25 28.25 0.270 0.300 0.430 0.014 11.000 7.600 0.427 
90.75 66.25 0.410 0.330 0.260 0.307 21.000 4.400 0.537 
75.25 30.75 0.280 0.310 0.410 0.006 11.000 7.800 0.852 
-119.75 44.75 0.230 0.400 0.370 0.013 9.000 7.200 0.575 
7.75 10.75 0.190 0.160 0.650 0.007 12.000 6.200 0.444 
67.75 33.75 0.270 0.300 0.430 0.014 11.000 7.600 0.341 
-92.25 78.25 0.080 0.370 0.550 0.020 11.000 5.900 1.000 
-10.25 18.75 0.060 0.060 0.880 0.002 12.000 5.900 0.559 
91.25 75.25 0.200 0.480 0.320 0.031 17.000 6.300 0.600 
90.75 51.25 0.320 0.400 0.280 0.014 10.000 7.400 0.762 
-9.25 26.25 0.270 0.300 0.430 0.014 11.000 7.600 0.500 
96.75 27.75 0.270 0.300 0.430 0.014 11.000 7.600 0.432 
75.75 53.25 0.320 0.400 0.280 0.014 10.000 7.400 0.662 
125.25 -17.25 0.270 0.300 0.430 0.014 11.000 7.600 0.468 
-153.25 67.25 0.200 0.480 0.320 0.031 17.000 6.300 0.386 
-80.25 62.25 0.094 0.366 0.540 0.021 11.032 5.993 0.704 
137.75 -26.25 0.170 0.240 0.590 0.010 13.000 5.200 0.716 
-58.25 -36.25 0.280 0.410 0.310 0.012 11.000 7.500 0.604 
-56.75 -31.75 0.270 0.300 0.430 0.014 11.000 7.600 0.500 
-99.75 61.75 0.210 0.420 0.370 0.017 14.000 5.100 0.700 
-111.75 45.75 0.130 0.290 0.580 0.006 11.000 6.200 0.408 
113.25 75.25 0.200 0.480 0.320 0.031 17.000 6.300 0.600 
62.25 60.75 0.140 0.480 0.380 0.018 12.000 5.000 0.568 
-7.75 18.75 0.060 0.060 0.880 0.002 12.000 5.900 1.000 
-69.75 44.75 0.060 0.200 0.740 0.030 17.000 4.500 0.569 
19.75 41.25 0.270 0.240 0.490 0.008 10.000 6.400 0.461 
97.25 40.25 0.270 0.330 0.400 0.005 10.000 8.200 0.597 
131.75 62.25 0.210 0.420 0.370 0.017 14.000 5.100 0.400 
174.25 69.25 0.200 0.480 0.320 0.031 17.000 6.300 0.345 
41.75 36.25 0.280 0.310 0.410 0.006 11.000 7.800 0.529 
-88.75 36.75 0.200 0.220 0.580 0.008 11.000 6.200 0.773 
133.75 35.25 0.240 0.310 0.450 0.010 11.000 6.600 0.496 
-132.75 54.25 0.146 0.241 0.614 0.023 14.537 5.757 0.543 
48.25 8.75 0.220 0.410 0.370 0.005 9.000 7.900 0.700 
18.25 46.75 0.320 0.330 0.350 0.018 11.000 6.400 0.459 
22.25 -32.75 0.280 0.310 0.410 0.006 11.000 7.800 0.444 
-64.25 45.75 0.060 0.200 0.740 0.030 17.000 4.500 0.452 
101.75 -3.25 0.240 0.330 0.430 0.014 12.000 5.100 0.375 
174.75 64.75 0.200 0.480 0.320 0.031 17.000 6.300 0.800 
13.25 -14.75 0.230 0.280 0.490 0.007 10.000 8.000 0.446 
-125.25 61.75 0.240 0.310 0.450 0.010 11.000 6.600 0.600 
142.25 -21.25 0.540 0.290 0.170 0.008 11.000 7.900 0.500 
-69.75 53.25 0.060 0.200 0.740 0.030 17.000 4.500 1.000 
16.75 2.25 0.350 0.110 0.540 0.010 13.000 4.500 0.372 
-154.25 57.25 0.090 0.320 0.590 0.031 11.000 5.900 0.499 
-106.25 31.25 0.130 0.190 0.680 0.006 11.000 6.500 0.667 
-96.25 48.25 0.340 0.310 0.350 0.018 12.000 6.400 0.500 
46.75 39.75 0.270 0.300 0.430 0.014 11.000 7.600 0.444 
34.75 40.25 0.280 0.310 0.410 0.006 11.000 7.800 0.429 
-108.25 44.25 0.190 0.260 0.550 0.007 10.000 7.900 0.500 
-72.25 -42.75 0.270 0.300 0.430 0.014 11.000 7.600 0.500 
15.75 40.75 0.240 0.330 0.430 0.014 12.000 5.100 0.463 
123.75 70.75 0.210 0.420 0.370 0.017 14.000 5.100 0.400 
21.75 20.25 0.170 0.270 0.560 0.004 9.000 8.000 0.383 
-68.25 -38.75 0.230 0.320 0.450 0.009 11.000 7.000 0.548 
-90.75 52.75 0.060 0.200 0.740 0.030 17.000 4.500 0.400 
124.75 -20.75 0.170 0.240 0.590 0.010 13.000 5.200 1.000 
120.25 29.25 0.260 0.190 0.550 0.009 13.000 5.300 0.372 
-157.75 57.25 0.320 0.300 0.380 0.014 11.000 4.900 0.300 
144.75 -17.75 0.480 0.160 0.360 0.012 12.000 5.400 0.278 
11.75 5.75 0.390 0.170 0.440 0.013 12.000 4.900 0.653 
-152.25 64.75 0.320 0.300 0.380 0.014 11.000 4.900 0.444 
-76.25 49.25 0.060 0.200 0.740 0.030 17.000 4.500 0.585 
-56.75 2.25 0.390 0.170 0.440 0.013 12.000 4.900 0.596 
25.75 45.25 0.240 0.330 0.430 0.014 12.000 5.100 0.403 
-71.25 60.75 0.270 0.300 0.430 0.014 11.000 7.600 1.000 
21.25 63.25 0.147 0.234 0.620 0.025 14.989 4.645 0.476 
-69.25 -36.25 0.270 0.300 0.430 0.014 11.000 7.600 0.329 
-64.75 65.75 0.080 0.370 0.550 0.020 11.000 5.900 0.600 
-75.25 -1.25 0.350 0.110 0.540 0.010 13.000 4.500 0.466 
115.75 32.25 0.290 0.300 0.410 0.010 11.000 6.200 0.444 
25.75 51.25 0.230 0.270 0.500 0.008 11.000 6.200 0.500 
68.75 61.75 0.410 0.330 0.260 0.307 21.000 4.400 0.769 
134.75 50.25 0.270 0.300 0.430 0.014 11.000 7.600 0.257 
-88.75 75.75 0.080 0.370 0.550 0.020 11.000 5.900 1.000 
-60.25 -22.75 0.230 0.400 0.370 0.013 9.000 7.200 0.600 
61.25 52.75 0.310 0.430 0.260 0.019 10.000 7.800 0.744 
5.75 8.75 0.230 0.320 0.450 0.009 11.000 7.000 0.376 
-135.25 60.75 0.240 0.310 0.450 0.010 11.000 6.600 0.539 
133.25 58.25 0.270 0.300 0.430 0.014 11.000 7.600 0.340 
64.25 62.75 0.040 0.100 0.860 0.033 23.000 4.400 0.589 
144.25 -16.75 0.050 0.100 0.850 0.004 17.000 5.600 0.609 
55.25 51.25 0.320 0.400 0.280 0.014 10.000 7.400 1.000 
-75.25 55.25 0.270 0.300 0.430 0.014 11.000 7.600 0.499 
170.25 -44.75 0.240 0.310 0.450 0.010 11.000 6.600 0.481 
16.75 53.25 0.100 0.300 0.600 0.032 18.000 4.700 0.493 
28.75 67.75 0.410 0.330 0.260 0.307 21.000 4.400 0.518 
15.25 60.25 0.060 0.200 0.740 0.030 17.000 4.500 0.669 
-120.25 73.75 0.080 0.370 0.550 0.020 11.000 5.900 0.925 
69.25 70.25 0.410 0.330 0.260 0.307 21.000 4.400 0.475 
146.25 -21.25 0.260 0.250 0.490 0.007 11.000 7.800 0.340 
18.75 -16.75 0.050 0.060 0.890 0.004 11.000 6.400 0.447 
101.75 54.75 0.100 0.400 0.500 0.011 11.000 5.500 0.533 
91.75 59.25 0.100 0.400 0.500 0.011 11.000 5.500 0.531 
-114.75 31.75 0.180 0.200 0.620 0.004 12.000 7.900 0.700 
105.25 38.25 0.280 0.310 0.410 0.006 11.000 7.800 0.486 
77.75 59.25 0.100 0.400 0.500 0.011 11.000 5.500 0.446 
