1850	275.42
1851	279.52
1852	278.62
1853	272.72
1854	271.82
1855	277.91
1856	278.01
1857	276.11
1858	276.2
1859	276.3
1860	276.4
1861	276.5
1862	276.59
1863	276.69
1864	276.79
1865	276.89
1866	276.98
1867	277.08
1868	277.18
1869	277.28
1870	277.38
1871	277.46
1872	277.54
1873	277.62
1874	277.7
1875	277.79
1876	277.87
1877	277.95
1878	278.03
1879	278.12
1880	278.2
1881	278.29
1882	278.38
1883	278.47
1884	278.56
1885	278.65
1886	278.74
1887	278.83
1888	278.92
1889	279.01
1890	279.1
1891	279.17
1892	279.24
1893	279.31
1894	279.38
1895	279.45
1896	279.52
1897	279.59
1898	279.66
1899	279.73
1900	279.8
1901	279.92
1902	280.04
1903	280.15
1904	280.27
1905	280.39
1906	280.5
1907	280.62
1908	280.74
1909	280.86
1910	280.98
1911	281.17
1912	281.36
1913	281.56
1914	281.76
1915	281.95
1916	282.15
1917	282.34
1918	282.54
1919	282.73
1920	282.92
1921	283.13
1922	283.34
1923	283.54
1924	283.74
1925	283.95
1926	284.16
1927	284.36
1928	284.56
1929	284.77
1930	284.98
1931	285.15
1932	285.33
1933	285.5
1934	285.68
1935	285.85
1936	286.03
1937	286.2
1938	286.38
1939	286.55
1940	286.73
1941	286.95
1942	287.18
1943	287.41
1944	287.64
1945	287.86
1946	288.09
1947	288.32
1948	288.54
1949	288.77
1950	289.0
1951	289.24
1952	289.48
1953	289.72
1954	289.96
1955	290.2
1956	290.44
1957	290.68
1958	290.92
1959	291.16
1960	291.4
1961	291.78
1962	292.16
1963	292.54
1964	292.92
1965	293.3
1966	293.68
1967	294.06
1968	294.44
1969	294.82
1970	295.2
1971	295.82
1972	296.44
1973	297.05
1974	297.67
1975	298.29
1976	298.91
1977	299.53
1978	300.15
1979	300.76
1980	301.38
1981	302.19
1982	303.0
1983	303.81
1984	304.62
1985	305.43
1986	306.24
1987	307.05
1988	307.86
1989	308.67
1990	309.48
1991	310.12
1992	310.76
1993	311.39
1994	312.03
1995	312.67
1996	313.3
1997	313.94
1998	314.58
1999	315.21
2000	315.85
2001	316.56
2002	317.27
2003	317.98
2004	318.69
2005	319.4
2006	320.11
2007	320.82
2008	321.54
2009	322.25
2010	322.96
2011	323.58
2012	324.21
2013	324.83
2014	325.46
2015	326.08
2016	326.71
2017	327.33
2018	327.96
2019	328.58
2020	329.21
2021	329.72
2022	330.23
2023	330.73
2024	331.24
2025	331.75
2026	332.26
2027	332.77
2028	333.28
2029	333.79
2030	334.3
2031	334.74
2032	335.19
2033	335.64
2034	336.08
2035	336.53
2036	336.97
2037	337.42
2038	337.87
2039	338.31
2040	338.76
2041	339.07
2042	339.39
2043	339.7
2044	340.01
2045	340.33
2046	340.64
2047	340.95
2048	341.27
2049	341.58
2050	341.9
2051	342.03
2052	342.16
2053	342.28
2054	342.41
2055	342.54
2056	342.67
2057	342.8
2058	342.93
2059	343.06
2060	343.19
2061	343.25
2062	343.3
2063	343.36
2064	343.41
2065	343.47
2066	343.52
2067	343.58
2068	343.63
2069	343.69
2070	343.74
2071	343.79
2072	343.83
2073	343.87
2074	343.91
2075	343.95
2076	343.99
2077	344.04
2078	344.08
2079	344.12
2080	344.16
2081	344.17
2082	344.18
2083	344.19
2084	344.2
2085	344.21
2086	344.22
2087	344.23
2088	344.24
2089	344.25
2090	344.26
2091	344.24
2092	344.21
2093	344.19
2094	344.16
2095	344.14
2096	344.11
2097	344.09
2098	344.06
2099	344.04
2100	344.02
