1850	790.98
1851	792.41
1852	793.83
1853	795.26
1854	796.69
1855	798.11
1856	799.54
1857	800.97
1858	802.4
1859	803.82
1860	805.25
1861	806.82
1862	808.4
1863	809.98
1864	811.55
1865	813.12
1866	814.7
1867	816.28
1868	817.85
1869	819.42
1870	821.0
1871	822.6
1872	824.2
1873	825.8
1874	827.4
1875	829.0
1876	830.6
1877	832.2
1878	833.8
1879	835.4
1880	837.0
1881	838.9
1882	840.8
1883	842.7
1884	844.6
1885	846.5
1886	848.4
1887	850.3
1888	852.2
1889	854.1
1890	856.0
1891	858.35
1892	860.7
1893	863.05
1894	865.4
1895	867.75
1896	870.1
1897	872.45
1898	874.8
1899	877.15
1900	879.5
1901	883.92
1902	888.35
1903	892.78
1904	897.2
1905	901.62
1906	906.05
1907	910.48
1908	914.9
1909	919.32
1910	923.75
1911	929.15
1912	934.55
1913	939.95
1914	945.35
1915	950.75
1916	956.15
1917	961.55
1918	966.95
1919	972.35
1920	977.75
1921	983.6
1922	989.45
1923	995.3
1924	1001.15
1925	1007.0
1926	1012.85
1927	1018.7
1928	1024.55
1929	1030.4
1930	1036.25
1931	1041.45
1932	1046.65
1933	1051.85
1934	1057.05
1935	1062.25
1936	1067.45
1937	1072.65
1938	1077.85
1939	1083.05
1940	1088.25
1941	1094.15
1942	1100.05
1943	1105.95
1944	1111.85
1945	1117.75
1946	1123.65
1947	1129.55
1948	1135.45
1949	1141.35
1950	1147.25
1951	1157.22
1952	1167.2
1953	1177.18
1954	1187.15
1955	1197.12
1956	1207.1
1957	1217.08
1958	1227.05
1959	1237.03
1960	1247.0
1961	1260.88
1962	1274.75
1963	1288.62
1964	1302.5
1965	1316.38
1966	1330.25
1967	1344.12
1968	1358.0
1969	1371.88
1970	1385.75
1971	1401.95
1972	1418.15
1973	1434.35
1974	1450.55
1975	1466.75
1976	1482.95
1977	1499.15
1978	1515.35
1979	1531.55
1980	1547.75
1981	1562.34
1982	1576.93
1983	1591.51
1984	1606.1
1985	1620.69
1986	1635.28
1987	1649.87
1988	1664.45
1989	1679.04
1990	1693.63
1991	1699.37
1992	1705.11
1993	1710.85
1994	1716.59
1995	1722.33
1996	1728.07
1997	1733.81
1998	1739.54
1999	1745.28
2000	1751.02
2001	1751.57
2002	1752.11
2003	1752.65
2004	1753.19
2005	1753.74
2006	1757.61
2007	1761.49
2008	1765.37
2009	1769.25
2010	1773.13
2011	1768.87
2012	1764.61
2013	1760.34
2014	1756.08
2015	1751.82
2016	1747.56
2017	1743.3
2018	1739.04
2019	1734.78
2020	1730.52
2021	1717.49
2022	1704.46
2023	1691.43
2024	1678.4
2025	1665.37
2026	1652.34
2027	1639.31
2028	1626.28
2029	1613.25
2030	1600.22
2031	1592.9
2032	1585.59
2033	1578.28
2034	1570.97
2035	1563.66
2036	1556.34
2037	1549.03
2038	1541.72
2039	1534.41
2040	1527.1
2041	1519.54
2042	1511.99
2043	1504.43
2044	1496.87
2045	1489.32
2046	1481.76
2047	1474.21
2048	1466.65
2049	1459.1
2050	1451.54
2051	1442.9
2052	1434.25
2053	1425.61
2054	1416.97
2055	1408.32
2056	1399.68
2057	1391.04
2058	1382.39
2059	1373.75
2060	1365.11
2061	1359.66
2062	1354.22
2063	1348.77
2064	1343.32
2065	1337.88
2066	1332.43
2067	1326.99
2068	1321.54
2069	1316.1
2070	1310.65
2071	1308.13
2072	1305.6
2073	1303.08
2074	1300.55
2075	1298.03
2076	1295.5
2077	1292.98
2078	1290.45
2079	1287.93
2080	1285.4
2081	1283.69
2082	1281.98
2083	1280.27
2084	1278.56
2085	1276.84
2086	1275.13
2087	1273.42
2088	1271.71
2089	1269.99
2090	1268.28
2091	1266.82
2092	1265.35
2093	1263.89
2094	1262.42
2095	1260.96
2096	1259.49
2097	1258.02
2098	1256.56
2099	1255.09
2100	1253.63
